Molecule ChEMBL ID,Smiles,Standard Value,Standard Units,pIC50
CHEMBL3127106,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCOC[C@@H]12,9.9,nM,8.0
CHEMBL3127104,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1O[C@H]1CCOC[C@@H]12,7.3,nM,8.14
CHEMBL3127094,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCOC[C@H]12,830.0,nM,6.08
CHEMBL251862,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,13.0,nM,7.89
CHEMBL253060,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@H]2CCc3ccccc32)cc(N2CCCC2=O)c1,160.0,nM,6.8
CHEMBL1909684,O=C(c1ccc(Cl)cc1)N(CC(O)Cn1c2ccccc2c2ccccc21)c1ccccc1,4700.0,nM,5.33
CHEMBL1909685,COc1ccc(C(=O)N(CC(O)Cn2c3ccccc3c3ccccc32)c2ccccc2)cc1,3800.0,nM,5.42
CHEMBL248699,CCCN(c1cc2cc(c1)C(=O)N[C@@H](c1ccccc1)CCc1cccc(c1)C[C@@](C)(N)COC2)S(C)(=O)=O,17.0,nM,7.77
CHEMBL566200,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,40.0,nM,7.4
CHEMBL1824351,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2csc(Cl)c2)N=C1N,80.0,nM,7.1
CHEMBL1817733,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H](C)c1ccccc1,34.8,nM,7.46
CHEMBL570762,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](C(F)(F)F)NC1,33.0,nM,7.48
CHEMBL571432,COC(=O)N[C@H]1CC[C@@](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CN1,240.0,nM,6.62
CHEMBL1821812,Cc1ccccc1-c1ccc2nc(N)c(CCC(=O)NCC3CCCCC3)cc2c1,34.0,nM,7.47
CHEMBL1821819,CCCC(Cc1cc2cc(-c3ccccc3C)ccc2nc1N)C(=O)NCC1CCCCC1,11.0,nM,7.96
CHEMBL1821825,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCC3CCOCC3)cc2c1,10.0,nM,8.0
CHEMBL3656159,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2ccccc2C1,160.0,nM,6.8
CHEMBL3656163,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCC(F)(F)CC1,189.0,nM,6.72
CHEMBL3656135,COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(Cl)c3)cc1C21N=C(N)N(C)C1=O,11.1,nM,7.96
CHEMBL3656184,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(C)C1=O,2.1,nM,8.68
CHEMBL3899749,COC1CCC2(CC1)Cc1ccc(Br)cc1C21N=C(N)N(C)O1,137.0,nM,6.86
CHEMBL254058,COc1ccc(-c2ccc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2CC(=O)NC(=N)N)cc1,600.0,nM,6.22
CHEMBL252025,N=C(N)NC(=O)Cn1c(-c2ccc(F)cc2)ccc1-c1ccc(Oc2ccccc2)cc1,1400.0,nM,5.85
CHEMBL2059330,CCc1cccc2ccn(CC(O)CSc3ccccc3Cl)c12,7520.0,nM,5.12
CHEMBL2059594,COc1ccc(SCC(O)Cn2c3c(c4ccccc42)CCCC3)cc1,15200.0,nM,4.82
CHEMBL217068,N=C(N)NC(=O)Cn1c(-c2ccccc2)ccc1-c1ccccc1,3700.0,nM,5.43
CHEMBL393559,NC(N)=NC(=O)Cc1c(-c2ccccc2Cl)csc1-c1ccc(OCCc2cn[nH]c2)cc1,6900.0,nM,5.16
CHEMBL1645523,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCCC(=O)Nc1cccc(C(=O)O)c1,870.0,nM,6.06
CHEMBL3943551,COC1CCC2(CC1)Cc1ccc(CCC3CC3)cc1C21N=C(N)N(Cc2ccc(C(F)(F)F)cn2)C1=O,24.3,nM,7.61
CHEMBL3935889,COC1CCC2(CC1)Cc1ccc(CCC3CC3)cc1C21N=C(N)N(CCC(F)(F)F)C1=O,24.3,nM,7.61
CHEMBL5912717,C=CCN1C2(COS1(=O)=O)c1cc(Br)ccc1CC21CCC(OC)CC1,2336.0,nM,5.63
CHEMBL4860825,CC(C)(C)c1cccc(CNCC(O)CNCCC(c2ccccc2)c2ccccc2)c1,41000.0,nM,4.39
CHEMBL3086250,O=C(N[C@H](C(=O)Nc1cccc([C@@H](O)CN[C@H](CO)Cc2ccccc2)c1)c1ccccc1)OCc1ccccc1,7500.0,nM,5.12
CHEMBL3086245,CC(C)(C)OC(=O)N(Cc1ccccc1)C[C@H](O)c1ccc(C(=O)c2ccccc2)c(NC(=O)[C@H](NC(=O)OCc2ccccc2)c2ccccc2)c1,18100.0,nM,4.74
CHEMBL2347883,O=C(Nc1cc(Br)ccc1N1CCN(C(=O)c2cccs2)CC1)c1cc2ccccc2o/c1=N\c1ccccc1,3550.0,nM,5.45
CHEMBL541736,C=CCO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(C(=O)N(CCC)CCC)c1,10.0,nM,8.0
CHEMBL539972,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(/C(C)=N\OCc2ccccc2)c1,67.0,nM,7.17
CHEMBL550643,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cccc(N3CCCCS3(=O)=O)c2)c1,74.0,nM,7.13
CHEMBL558894,CCCO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N(C)S(C)(=O)=O)c1,59.0,nM,7.23
CHEMBL555916,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCc3ccccc3)cc(N(c3ccccc3)S(C)(=O)=O)c2)c1,12.0,nM,7.92
CHEMBL539975,CO/N=C(\C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,86.0,nM,7.07
CHEMBL541739,CCCO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,184.0,nM,6.74
CHEMBL3354689,CC(C)(C)C#Cc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,2.0,nM,8.7
CHEMBL4085715,C[C@@]1(c2cc(CNC3CC3)c(F)cc2F)CCSC(N)=N1,20600.0,nM,4.69
CHEMBL4092406,COCCNCc1cc([C@]2(C)CCSC(N)=N2)c(F)cc1F,6.0,nM,8.22
CHEMBL2346802,CC1(C)Cc2cc(Cl)ccc2C(N[C@@H](Cc2ccccc2)c2ncc(C#N)c(=O)[nH]2)=N1,470.0,nM,6.33
CHEMBL3752684,NC1=NC(c2ccc(F)cc2)NC(=O)N1,18000.0,nM,4.75
CHEMBL4100140,CN(C)Cc1cc([C@]2(C)CCSC(N)=N2)c(F)cc1F,22.0,nM,7.66
CHEMBL1083183,C[C@@H](NC(=O)c1cc(CNC[C@](N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,10100.0,nM,5.0
CHEMBL1086788,C[C@@H](NC(=O)c1cc(COC[C@](N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,1370.0,nM,5.86
CHEMBL3357669,C[C@]12CCCO[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cccc(C#N)c3)ccc1O2,98.0,nM,7.01
CHEMBL2322538,NCc1ccc(CNC(=O)C(Cc2ccccc2)c2ccc(-c3ccccc3)cc2)cc1,26900.0,nM,4.57
CHEMBL361977,CC(C)C[C@H](NC(=O)[C@@H]1CC(=O)NCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,3900.0,nM,5.41
CHEMBL3354688,CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,2.0,nM,8.7
CHEMBL595016,CCCS(=O)(=O)N(C)c1cc2cc(c1)C(=O)N[C@H]([C@H](O)CNCc1cccc(C(C)C)c1)Cc1cccc(c1)OCCCCN2,1.0,nM,9.0
CHEMBL595100,CC(C)c1cccc(C2(NC[C@@H](O)[C@@H]3Cc4cccc(c4)OCCCCOc4cc(cc(N5CCCC5=O)c4)C(=O)N3)CC2)c1,1.0,nM,9.0
CHEMBL3422244,Cc1coc([C@H]2C[C@H]3[C@@H](CF)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)n1,116.0,nM,6.94
CHEMBL38830,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cccc(C(=O)O)c1,16.0,nM,7.8
CHEMBL257099,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCc1cccc(N)c1,744.0,nM,6.13
CHEMBL403195,COC[C@H]1CCCN1C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](Oc3ccccc3)CN2)c1,21.0,nM,7.68
CHEMBL1817741,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1[nH]c(=O)[nH]c(=O)c1F)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)NC(C)(C)c1ccccc1,27.0,nM,7.57
